,Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeCount,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_Female,Gender_Male
32,49,0,2,1,1,1,33,2,4.555215405126073,9.0,Y,13,8,0,22.0,2,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
33,36,0,1,5,3,1,34,3,4.732795698289329,4.0,Y,14,8,0,10.0,2,8,7,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
34,31,0,2,9,4,1,35,1,4.6706168864003255,1.0,Y,16,8,1,2.0,4,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
35,26,1,1,8,3,1,36,2,5.1982996089676865,1.0,Y,12,8,2,8.0,5,8,7,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
36,37,0,2,9,1,1,37,1,4.1801258751640535,1.0,Y,14,8,0,4.0,3,4,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
37,42,0,2,2,2,1,38,3,4.4707044297227885,5.0,Y,13,8,0,23.0,2,20,4,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
38,18,1,1,1,4,1,39,1,4.368286884902131,1.0,Y,14,8,2,0.0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
39,35,0,1,20,2,1,40,1,4.712144414214886,0.0,Y,19,8,0,12.0,2,11,6,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
40,36,0,2,8,3,1,41,3,4.84273401894827,4.0,Y,12,8,2,4.0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
41,51,0,1,2,3,1,42,2,4.75396586586516,5.0,Y,13,8,0,13.0,2,4,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42,41,0,1,29,1,1,43,1,4.376394442037266,1.0,Y,12,8,0,22.0,6,22,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
43,18,0,1,7,3,1,44,1,4.581152891966289,1.0,Y,15,8,0,0.0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
44,28,0,1,9,3,1,45,1,4.667266119382274,0.0,Y,23,8,2,9.0,2,8,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
45,31,0,1,8,1,1,46,1,4.467756051244033,4.0,Y,12,8,1,10.0,2,8,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
46,39,0,1,5,4,1,47,2,4.323252100171687,0.0,Y,20,8,0,19.0,3,18,3,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
47,36,0,0,5,4,1,48,1,4.933386041903054,7.0,Y,21,8,0,11.0,4,9,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
48,32,0,1,2,3,1,49,2,4.432327792261604,1.0,Y,21,8,1,13.0,4,13,4,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
49,38,0,1,5,2,1,50,3,4.805092878342673,3.0,Y,19,8,2,19.0,4,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
50,58,0,0,2,3,1,51,2,4.598571663482141,2.0,Y,13,8,2,12.0,3,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,31,0,1,20,1,1,52,3,4.9959421629925505,0.0,Y,13,8,1,6.0,3,5,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
52,31,0,1,7,4,1,53,2,5.121395680707224,3.0,Y,21,8,1,9.0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
53,45,0,2,3,1,1,54,1,4.549003262025788,1.0,Y,13,8,0,24.0,6,24,9,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
54,31,0,1,16,4,1,55,2,4.447778009294621,0.0,Y,19,8,2,3.0,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
55,33,0,2,9,3,1,56,4,5.287622602486192,6.0,Y,12,8,1,12.0,3,10,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
56,39,0,1,1,4,1,57,1,5.293693950745766,1.0,Y,22,8,1,21.0,6,21,11,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
57,43,0,2,7,4,1,58,4,4.387211800313731,0.0,Y,15,8,0,9.0,2,8,1,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
58,49,0,1,1,3,1,59,3,4.864154956002025,7.0,Y,22,8,0,25.0,2,7,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
59,52,1,1,7,1,1,60,2,4.678882414670736,2.0,Y,18,8,1,11.0,2,8,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
60,27,0,1,15,4,1,61,3,4.591287265058499,1.0,Y,22,8,0,4.0,2,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
61,32,0,1,1,3,1,62,3,4.4252080511386565,1.0,Y,11,8,1,13.0,6,13,11,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
62,27,0,1,13,2,1,63,4,4.4557582031041365,1.0,Y,12,8,2,5.0,5,5,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
63,31,0,1,24,3,1,64,2,4.03382569395331,4.0,Y,11,8,3,13.0,4,7,1,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
64,32,0,1,7,3,1,65,2,4.393048466416778,7.0,Y,13,8,0,10.0,2,7,0,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
65,28,1,1,9,4,1,66,1,4.753812783564702,5.0,Y,14,8,1,5.0,4,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
66,30,0,1,13,3,1,67,4,4.62293896921149,1.0,Y,13,8,0,11.0,3,10,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
67,31,0,2,2,1,1,68,1,4.9873533887357935,1.0,Y,17,8,0,10.0,5,10,8,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
68,39,0,2,19,4,1,69,1,4.314288660947498,1.0,Y,13,8,0,21.0,4,21,13,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
69,39,1,1,1,1,1,70,1,4.631849462159818,4.0,Y,17,8,1,12.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
70,33,0,2,4,2,1,71,4,4.6801541417343735,3.0,Y,11,8,1,9.0,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
71,47,0,1,4,3,1,72,2,4.77129344262906,4.0,Y,23,8,0,21.0,4,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
72,43,0,2,14,3,1,73,5,4.589502796263764,1.0,Y,17,8,2,9.0,2,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
73,27,0,0,2,3,1,74,1,5.2259034449261605,0.0,Y,17,8,0,6.0,3,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
74,54,0,2,1,4,1,75,2,4.467312062980552,3.0,Y,12,8,2,20.0,2,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
75,43,0,1,7,2,1,76,2,4.812913356642856,8.0,Y,23,8,0,10.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
76,45,0,1,3,1,1,77,1,5.2348714585627025,9.0,Y,14,8,1,12.0,6,10,9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
77,40,0,1,2,4,1,78,4,4.701826930397139,2.0,Y,14,8,2,6.0,6,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
78,29,1,1,29,3,1,79,1,4.363047594521094,1.0,Y,13,8,1,7.0,0,7,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
79,29,0,1,8,3,1,80,3,4.412796428716543,0.0,Y,22,8,2,4.0,3,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
80,30,0,1,10,3,1,81,2,4.740915076481283,1.0,Y,12,8,2,10.0,2,10,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
81,27,0,1,11,2,1,82,1,4.64276120326532,1.0,Y,18,8,1,8.0,2,8,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
82,37,0,1,1,4,1,83,2,5.125416197982755,7.0,Y,14,8,0,8.0,4,6,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
83,38,0,1,28,4,1,84,1,4.818423855092079,0.0,Y,12,8,0,12.0,1,11,2,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
84,31,0,1,6,3,1,85,3,4.9086458389071135,1.0,Y,15,8,1,11.0,5,11,4,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
85,29,0,1,3,4,1,86,3,4.599664778788417,1.0,Y,11,8,0,7.0,0,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
86,35,0,1,16,2,1,87,3,4.405517106976376,0.0,Y,13,8,1,17.0,3,16,0,13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
87,23,0,1,20,4,1,88,1,4.732313327471243,1.0,Y,23,8,0,4.0,2,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
88,41,0,1,9,2,1,89,1,4.7393349601960795,6.0,Y,19,8,2,8.0,0,5,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
89,47,0,2,1,3,1,90,2,4.834674974462744,3.0,Y,16,8,1,5.0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
90,42,0,1,3,4,1,91,1,4.037824750588342,2.0,Y,22,8,0,16.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
91,29,0,0,22,4,1,92,2,4.758609142659743,1.0,Y,22,8,0,4.0,1,4,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
92,42,0,1,7,4,1,93,3,4.34752515999869,0.0,Y,12,8,1,4.0,3,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
93,32,0,1,2,3,1,94,2,4.759441197133698,1.0,Y,13,8,0,8.0,0,8,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
94,48,0,1,13,4,1,95,4,4.99361255793889,3.0,Y,16,8,1,15.0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
95,37,0,1,8,5,1,96,2,4.737749073891557,4.0,Y,12,8,0,13.0,2,7,6,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
96,30,0,0,25,4,1,97,1,4.730782275666389,7.0,Y,21,8,1,4.0,0,2,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
97,26,0,1,28,3,1,98,5,4.711891549880579,1.0,Y,15,8,3,8.0,3,8,7,7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
98,42,0,1,2,2,1,99,1,4.328990855449429,3.0,Y,13,8,2,14.0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
99,21,1,2,9,3,1,100,4,5.2522460504731185,1.0,Y,12,8,0,3.0,5,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
100,36,0,0,28,3,1,101,2,4.385963570600698,4.0,Y,22,8,0,7.0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
101,36,0,2,6,3,1,102,2,4.678609416558926,4.0,Y,13,8,1,16.0,2,13,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
102,57,0,1,21,4,1,103,5,5.282418170877648,2.0,Y,18,8,0,15.0,2,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
103,40,0,1,8,3,1,104,2,4.706461737631355,3.0,Y,14,8,1,10.0,3,7,1,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
104,21,0,0,1,5,1,105,2,4.456821348021599,1.0,Y,14,8,0,3.0,2,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
105,33,1,1,28,2,1,106,5,4.745152895076901,1.0,Y,21,8,1,1.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
106,37,0,1,5,3,1,107,4,4.331224781020732,6.0,Y,19,8,0,17.0,3,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
107,46,0,0,2,4,1,108,2,4.486430478854434,2.0,Y,11,8,0,7.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
108,41,1,2,16,1,1,109,1,4.44870631990508,1.0,Y,11,8,0,8.0,3,8,7,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
109,50,0,1,9,3,1,110,3,4.995108457744741,6.0,Y,15,8,0,20.0,2,4,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
110,40,1,1,8,3,1,111,1,4.935910136430508,2.0,Y,20,8,0,8.0,2,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
111,31,0,1,1,3,1,112,4,4.457427692946484,0.0,Y,24,8,0,3.0,5,2,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
112,21,1,1,10,2,1,113,1,4.730216840568694,1.0,Y,12,8,1,1.0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
113,29,0,1,1,3,1,114,2,4.823930455125564,9.0,Y,12,8,1,6.0,6,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
114,35,0,1,29,3,1,115,3,4.699230502883409,9.0,Y,15,8,0,10.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
115,27,0,1,2,3,1,116,1,4.374198257929082,0.0,Y,12,8,1,5.0,2,5,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
116,28,0,1,2,2,1,117,3,4.456062224454952,1.0,Y,12,8,0,7.0,2,7,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
117,49,0,1,2,3,1,118,2,4.716337287889549,8.0,Y,14,8,1,26.0,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
118,51,0,1,1,2,1,119,1,4.613313161455459,4.0,Y,22,8,1,18.0,2,7,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
119,36,0,1,15,2,1,120,1,4.985830489858392,4.0,Y,12,8,0,6.0,1,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
120,34,1,0,7,3,1,121,1,4.749504423876142,8.0,Y,25,8,1,9.0,3,5,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
121,55,0,1,26,3,1,122,1,5.019033163930999,2.0,Y,13,8,0,30.0,3,5,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
122,24,0,1,1,3,1,123,5,4.461948495203762,1.0,Y,18,8,3,5.0,4,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
123,30,0,1,3,3,1,124,2,4.775828814464613,1.0,Y,13,8,0,1.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
124,26,1,2,14,3,1,125,2,4.875639937004168,0.0,Y,18,8,3,7.0,3,6,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
125,22,0,1,16,5,1,126,1,4.4758164130313185,1.0,Y,19,8,2,2.0,3,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
126,36,0,1,1,3,1,127,5,5.293053023427832,1.0,Y,12,8,1,10.0,3,10,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
127,30,1,2,3,2,1,128,3,4.052693941924968,9.0,Y,19,8,0,3.0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
128,37,0,1,10,1,1,129,1,5.125188384168597,1.0,Y,14,8,1,18.0,3,18,12,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
129,40,0,1,6,2,1,130,3,4.636688447953283,7.0,Y,14,8,2,8.0,3,5,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
130,42,0,1,2,3,1,131,4,5.042614884588525,3.0,Y,12,8,1,8.0,2,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
131,37,0,1,9,1,1,132,3,4.64738297011462,2.0,Y,11,8,1,18.0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
132,43,0,1,10,2,1,133,1,4.664359874551141,1.0,Y,11,8,0,25.0,2,25,3,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
133,40,0,1,6,2,1,134,1,4.422753941301348,6.0,Y,13,8,0,20.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
134,54,0,1,9,3,1,135,2,4.800923181813218,4.0,Y,23,8,1,24.0,2,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
